,city,lat,lon,weather_main,dt_txt
0,Aigues Mortes,43.5661521,4.19154,Rain,2024-03-10 15:00:00
1,Aix en Provence,43.5298424,5.4474738,Rain,2024-03-10 15:00:00
2,Amiens,49.8941708,2.2956951,Clouds,2024-03-10 15:00:00
3,Annecy,45.8992348,6.1288847,Clouds,2024-03-10 15:00:00
4,Ariege,42.9455368,1.4065544156065486,Rain,2024-03-10 15:00:00
5,Avignon,43.9492493,4.8059012,Rain,2024-03-10 15:00:00
6,Bayeux,49.2764624,-0.7024738,Rain,2024-03-10 15:00:00
7,Bayonne,43.4945144,-1.4736657,Rain,2024-03-10 15:00:00
8,Besancon,47.2380222,6.0243622,Clouds,2024-03-10 15:00:00
9,Biarritz,43.4832523,-1.5592776,Rain,2024-03-10 15:00:00
10,Bormes les Mimosas,43.1506968,6.3419285,Rain,2024-03-10 15:00:00
11,Carcassonne,43.2130358,2.3491069,Rain,2024-03-10 15:00:00
12,Cassis,43.2140359,5.5396318,Rain,2024-03-10 15:00:00
13,Chateau du Haut Koenigsbourg,48.2493154,7.3429403075238096,Rain,2024-03-10 15:00:00
14,Collioure,42.52505,3.0831554,Rain,2024-03-10 15:00:00
15,Colmar,48.0777517,7.3579641,Rain,2024-03-10 15:00:00
16,Dijon,47.3215806,5.0414701,Rain,2024-03-10 15:00:00
17,Eguisheim,48.0447968,7.3079618,Rain,2024-03-10 15:00:00
18,Gorges du Verdon,43.7496562,6.3285616,Rain,2024-03-10 15:00:00
19,Grenoble,45.1875602,5.7357819,Rain,2024-03-10 15:00:00
20,La Rochelle,46.1591126,-1.1520434,Rain,2024-03-10 15:00:00
21,Le Havre,49.4938975,0.1079732,Rain,2024-03-10 15:00:00
22,Lille,50.6365654,3.0635282,Clouds,2024-03-10 15:00:00
23,Lyon,45.7578137,4.8320114,Clouds,2024-03-10 15:00:00
24,Marseille,43.2961743,5.3699525,Rain,2024-03-10 15:00:00
25,Mont Saint Michel,48.6359541,-1.511459954959514,Rain,2024-03-10 15:00:00
26,Montauban,44.0175835,1.3549991,Rain,2024-03-10 15:00:00
27,Nimes,43.8374249,4.3600687,Rain,2024-03-10 15:00:00
28,Paris,48.8588897,2.3200410217200766,Clouds,2024-03-10 15:00:00
29,Rouen,49.4404591,1.0939658,Clouds,2024-03-10 15:00:00
30,Saintes Maries de la mer,43.4515922,4.4277202,Rain,2024-03-10 15:00:00
31,St Malo,48.649518,-2.0260409,Rain,2024-03-10 15:00:00
32,Strasbourg,48.584614,7.7507127,Rain,2024-03-10 15:00:00
33,Toulouse,43.6044622,1.4442469,Rain,2024-03-10 15:00:00
34,Uzes,44.0121279,4.4196718,Rain,2024-03-10 15:00:00
